seed,fixed_interval,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,memory_busy_cycles,busy_percent
24,60,fixed,50000,396,6336,458,458,1019,5,0,6794,13.500000
24,80,fixed,50000,341,5465,442,442,957,6,0,5907,11.800000
24,100,fixed,50000,300,4800,430,430,855,7,0,5230,10.400000
24,150,fixed,50000,230,3685,381,381,903,9,0,4066,8.100000
24,200,fixed,50000,187,2992,331,331,897,12,0,3323,6.600000
25,20,fixed,50000,582,9323,469,469,1175,7,0,9792,19.500000
25,,table,50000,355,5681,450,450,889,7,1295,6131,12.200000
25,,threshold,50000,447,7164,467,467,957,8,776,7631,15.200000
25,30,fixed,50000,521,8336,485,485,986,6,0,8821,17.600000
25,40,fixed,50000,471,7544,473,473,971,7,0,8017,16.000000
25,60,fixed,50000,396,6336,446,446,1008,6,0,6782,13.500000
25,80,fixed,50000,341,5465,442,442,944,8,0,5907,11.800000
25,100,fixed,50000,300,4800,405,405,896,8,0,5205,10.400000
25,150,fixed,50000,230,3680,402,402,680,7,0,4082,8.100000
25,200,fixed,50000,187,2992,347,347,809,9,0,3339,6.600000
26,20,fixed,50000,582,9312,514,514,408,3,0,9826,19.600000
26,,table,50000,354,5664,465,465,593,5,1295,6129,12.200000
26,,threshold,50000,448,7179,493,493,689,4,776,7672,15.300000
26,30,fixed,50000,521,8336,487,487,468,5,0,8823,17.600000
26,40,fixed,50000,471,7538,499,499,465,4,0,8037,16.000000
26,60,fixed,50000,396,6336,466,466,621,5,0,6802,13.600000
26,80,fixed,50000,341,5468,428,428,722,5,0,5896,11.700000
26,100,fixed,50000,300,4800,428,428,740,6,0,5228,10.400000
26,150,fixed,50000,230,3680,401,401,686,6,0,4081,8.100000
26,200,fixed,50000,187,2992,368,368,606,8,0,3360,6.700000
27,20,fixed,50000,582,9312,513,513,634,6,0,9825,19.600000
27,,table,50000,356,5697,477,477,726,6,1295,6174,12.300000
27,,threshold,50000,446,7148,467,467,985,4,776,7615,15.200000
27,30,fixed,50000,521,8336,486,486,796,5,0,8822,17.600000
27,40,fixed,50000,471,7542,481,481,868,5,0,8023,16.000000
27,60,fixed,50000,396,6336,464,464,847,5,0,6800,13.600000
27,80,fixed,50000,341,5461,458,458,702,5,0,5919,11.800000
27,100,fixed,50000,300,4801,399,399,1138,6,0,5200,10.400000
27,150,fixed,50000,230,3687,372,372,761,5,0,4059,8.100000
27,200,fixed,50000,187,2992,321,321,863,6,0,3313,6.600000
28,20,fixed,50000,582,9318,486,486,1099,4,0,9804,19.600000
28,,table,50000,356,5696,438,438,946,5,1295,6134,12.200000
28,,threshold,50000,447,7163,485,485,910,4,776,7648,15.200000
28,30,fixed,50000,521,8336,486,486,915,5,0,8822,17.600000
28,40,fixed,50000,471,7545,470,470,866,5,0,8015,16.000000
28,60,fixed,50000,396,6339,428,428,1099,5,0,6767,13.500000
28,80,fixed,50000,341,5466,436,436,894,3,0,5902,11.800000
28,100,fixed,50000,300,4800,453,453,433,3,0,5253,10.500000
28,150,fixed,50000,230,3685,382,382,723,4,0,4067,8.100000
28,200,fixed,50000,187,2992,353,353,773,4,0,3345,6.600000
29,20,fixed,50000,581,9310,539,539,457,2,0,9849,19.600000
29,,table,50000,355,5680,464,464,825,5,1295,6144,12.200000
29,,threshold,50000,447,7152,504,504,603,3,776,7656,15.300000
29,30,fixed,50000,520,8331,526,526,564,2,0,8857,17.700000
29,40,fixed,50000,471,7536,515,515,550,2,0,8051,16.100000
29,60,fixed,50000,395,6336,502,502,647,2,0,6838,13.600000
29,80,fixed,50000,341,5457,471,471,680,3,0,5928,11.800000
29,100,fixed,50000,300,4800,438,438,964,3,0,5238,10.400000
29,150,fixed,50000,230,3680,412,412,768,4,0,4092,8.100000
29,200,fixed,50000,187,2992,358,358,842,5,0,3350,6.700000
30,20,fixed,50000,582,9312,515,515,498,4,0,9827,19.600000
30,,table,50000,355,5680,481,481,702,4,1295,6161,12.300000
30,,threshold,50000,447,7163,469,469,1005,5,776,7632,15.200000
30,30,fixed,50000,520,8335,510,510,545,4,0,8845,17.600000
30,40,fixed,50000,471,7539,493,493,458,5,0,8032,16.000000
30,60,fixed,50000,396,6336,468,468,600,4,0,6804,13.600000
30,80,fixed,50000,341,5468,430,430,861,6,0,5898,11.700000
30,100,fixed,50000,300,4800,409,409,816,5,0,5209,10.400000
30,150,fixed,50000,230,3681,398,398,672,4,0,4079,8.100000
30,200,fixed,50000,187,2992,328,328,947,7,0,3320,6.600000
