scenario,seed,requested_total_cycles,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,control_delay_points,safe_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
upsets,24,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,438,438,1428,6,1295,0,0,28453,7334,569,146,0
upsets,24,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,432,432,1442,6,776,0,0,26952,6960,539,139,0
upsets,25,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,451,451,2125,6,0,0,0,41531,10563,830,211,0
upsets,25,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,419,419,1582,7,1295,0,0,28434,7315,568,146,0
upsets,25,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,430,430,1521,8,776,0,0,26950,6958,539,139,0
upsets,26,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,510,510,943,4,0,0,0,41590,10622,831,212,0
upsets,26,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,486,486,732,4,1295,0,0,28501,7382,570,147,0
upsets,26,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,485,485,720,5,776,0,0,27005,7013,540,140,0
upsets,27,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,516,516,867,5,0,0,0,41596,10628,831,212,0
upsets,27,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,448,448,1510,4,1295,0,0,28463,7344,569,146,0
upsets,27,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,472,472,968,5,776,0,0,26992,7000,539,140,0
upsets,28,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,478,478,1583,4,0,0,0,41558,10590,831,211,0
upsets,28,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,470,470,935,4,1295,0,0,28485,7366,569,147,0
upsets,28,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,449,449,1160,3,776,0,0,26969,6977,539,139,0
upsets,29,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,495,495,1441,4,0,0,0,41575,10607,831,212,0
upsets,29,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,463,463,1303,6,1295,0,0,28478,7359,569,147,0
upsets,29,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,460,460,1130,5,776,0,0,26980,6988,539,139,0
upsets,30,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",fixed,50000,632,10112,520,520,869,5,0,0,0,41600,10632,832,212,0
upsets,30,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",table,50000,431,6896,472,472,885,5,1295,0,0,28487,7368,569,147,0
upsets,30,50000,43824,400,100,60,300,10,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/tables/risk_policy_level_map_delayed_1h.csv,1,1,"120,115,110,105,100,90,80,70","2,1,4,3","130,100,80",threshold,50000,408,6528,481,481,841,5,776,0,0,27001,7009,540,140,0
