seed,fixed_interval,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,memory_busy_cycles,busy_percent
23,150,fixed,50000,335,5360,426,426,1184,5,0,5786,11.500000
23,200,fixed,50000,250,4013,391,391,1000,6,0,4404,8.800000
23,240,fixed,50000,208,3340,350,350,970,7,0,3690,7.300000
23,300,fixed,50000,167,2672,313,313,897,6,0,2985,5.900000
24,60,fixed,50000,749,11984,506,506,1138,5,0,12490,24.900000
24,,table,50000,246,3936,385,385,863,8,1295,4321,8.600000
24,,threshold,50000,284,4544,414,414,997,6,776,4958,9.900000
24,70,fixed,50000,723,11577,477,477,1842,5,0,12054,24.100000
24,80,fixed,50000,632,10112,504,504,1021,6,0,10616,21.200000
24,100,fixed,50000,504,8065,474,474,1110,5,0,8539,17.000000
24,120,fixed,50000,419,6709,437,437,1144,7,0,7146,14.200000
24,150,fixed,50000,335,5360,419,419,1116,5,0,5779,11.500000
24,200,fixed,50000,250,4013,398,398,843,11,0,4411,8.800000
24,240,fixed,50000,208,3340,375,375,833,8,0,3715,7.400000
24,300,fixed,50000,167,2672,346,346,776,7,0,3018,6.000000
25,60,fixed,50000,748,11982,516,516,924,6,0,12498,24.900000
25,,table,50000,246,3936,401,401,843,9,1295,4337,8.600000
25,,threshold,50000,284,4544,417,417,792,8,776,4961,9.900000
25,70,fixed,50000,723,11575,517,517,808,6,0,12092,24.100000
25,80,fixed,50000,632,10112,481,481,1339,6,0,10593,21.100000
25,100,fixed,50000,504,8065,446,446,1334,6,0,8511,17.000000
25,120,fixed,50000,419,6709,447,447,1030,6,0,7156,14.300000
25,150,fixed,50000,335,5360,422,422,954,7,0,5782,11.500000
25,200,fixed,50000,250,4012,402,402,790,7,0,4414,8.800000
25,240,fixed,50000,208,3340,387,387,750,7,0,3727,7.400000
25,300,fixed,50000,166,2672,308,308,905,9,0,2980,5.900000
26,60,fixed,50000,748,11979,528,528,491,4,0,12507,25.000000
26,,table,50000,246,3936,418,418,680,6,1295,4354,8.700000
26,,threshold,50000,284,4544,435,435,828,6,776,4979,9.900000
26,70,fixed,50000,723,11575,529,529,507,5,0,12104,24.200000
26,80,fixed,50000,632,10112,522,522,612,4,0,10634,21.200000
26,100,fixed,50000,504,8065,497,497,788,4,0,8562,17.100000
26,120,fixed,50000,419,6709,473,473,571,5,0,7182,14.300000
26,150,fixed,50000,335,5360,453,453,690,5,0,5813,11.600000
26,200,fixed,50000,250,4013,400,400,603,5,0,4413,8.800000
26,240,fixed,50000,208,3340,344,344,766,6,0,3684,7.300000
26,300,fixed,50000,167,2672,314,314,660,7,0,2986,5.900000
27,60,fixed,50000,748,11981,522,522,622,4,0,12503,25.000000
27,,table,50000,246,3936,424,424,700,3,1295,4360,8.700000
27,,threshold,50000,284,4544,393,393,1122,6,776,4937,9.800000
27,70,fixed,50000,723,11577,519,519,515,5,0,12096,24.100000
27,80,fixed,50000,632,10112,526,526,487,5,0,10638,21.200000
27,100,fixed,50000,504,8065,497,497,668,4,0,8562,17.100000
27,120,fixed,50000,419,6709,481,481,648,4,0,7190,14.300000
27,150,fixed,50000,335,5360,433,433,886,6,0,5793,11.500000
27,200,fixed,50000,250,4013,359,359,1021,6,0,4372,8.700000
27,240,fixed,50000,208,3340,339,339,989,8,0,3679,7.300000
27,300,fixed,50000,166,2672,306,306,863,7,0,2978,5.900000
28,60,fixed,50000,749,11990,482,482,1677,4,0,12472,24.900000
28,,table,50000,246,3936,392,392,930,5,1295,4328,8.600000
28,,threshold,50000,284,4544,416,416,864,5,776,4960,9.900000
28,70,fixed,50000,723,11575,491,491,1443,5,0,12066,24.100000
28,80,fixed,50000,632,10112,485,485,1290,5,0,10597,21.100000
28,100,fixed,50000,504,8065,468,468,939,4,0,8533,17.000000
28,120,fixed,50000,419,6709,443,443,1099,4,0,7152,14.300000
28,150,fixed,50000,335,5360,417,417,909,5,0,5777,11.500000
28,200,fixed,50000,250,4013,394,394,795,4,0,4407,8.800000
28,240,fixed,50000,208,3340,357,357,831,5,0,3697,7.300000
28,300,fixed,50000,167,2672,325,325,734,7,0,2997,5.900000
29,60,fixed,50000,748,11976,540,540,698,3,0,12516,25.000000
29,,table,50000,246,3936,403,403,979,5,1295,4339,8.600000
29,,threshold,50000,284,4544,459,459,631,4,776,5003,10.000000
29,70,fixed,50000,723,11574,531,531,733,3,0,12105,24.200000
29,80,fixed,50000,632,10112,529,529,704,3,0,10641,21.200000
29,100,fixed,50000,504,8065,509,509,676,4,0,8574,17.100000
29,120,fixed,50000,419,6709,484,484,805,2,0,7193,14.300000
29,150,fixed,50000,335,5360,449,449,1042,4,0,5809,11.600000
29,200,fixed,50000,250,4013,393,393,963,3,0,4406,8.800000
