grid_fixed_interval,scenario,seed,requested_total_cycles,addr_width,window_size,event_count,paired_event_count,pair_gap_min,pair_gap_max,cluster_event_count,cluster_bit_count,control_quantization,control_source,control_policy_schedule,control_policy_level_map_output,control_delay_points,safe_interval,fixed_interval,level_intervals,threshold_levels,threshold_intervals,strategy,total_cycles,scrub_cycles,reads,writes,corrected,uncorrectable_detections,unique_uncorrectable_words,interval_switches,safe_entries,safe_cycles,scrub_active_cycles,memory_busy_cycles,scrub_per_mille,busy_per_mille,safe_per_mille
1244,upsets,9,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1244.csv,0,1244,1244,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,401,102735,472,472,136,3,0,0,0,411810,103207,823,206,0
1244,upsets,10,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1244.csv,0,1244,1244,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,401,102735,471,471,254,2,0,0,0,411809,103206,823,206,0
1300,upsets,1,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1300.csv,0,1300,1300,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,384,98304,470,470,281,2,0,0,0,394070,98774,788,197,0
1300,upsets,2,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1300.csv,0,1300,1300,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,384,98304,467,467,1117,3,0,0,0,394067,98771,788,197,0
1300,upsets,3,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1300.csv,0,1300,1300,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,384,98304,455,455,1221,8,0,0,0,394055,98759,788,197,0
1300,upsets,4,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1300.csv,0,1300,1300,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,384,98304,470,470,743,3,0,0,0,394070,98774,788,197,0
1300,upsets,5,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1300.csv,0,1300,1300,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,384,98304,468,468,804,4,0,0,0,394068,98772,788,197,0
1300,upsets,6,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1300.csv,0,1300,1300,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,384,98304,472,472,235,3,0,0,0,394072,98776,788,197,0
1300,upsets,7,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1300.csv,0,1300,1300,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,384,98304,463,463,1020,2,0,0,0,394063,98767,788,197,0
1300,upsets,8,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1300.csv,0,1300,1300,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,384,98304,469,469,794,3,0,0,0,394069,98773,788,197,0
1300,upsets,9,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1300.csv,0,1300,1300,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,384,98304,466,466,328,3,0,0,0,394066,98770,788,197,0
1300,upsets,10,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1300.csv,0,1300,1300,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,384,98304,472,472,170,1,0,0,0,394072,98776,788,197,0
1400,upsets,1,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,462,462,988,4,0,0,0,365918,91737,731,183,0
1400,upsets,2,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,470,470,1024,3,0,0,0,365926,91745,731,183,0
1400,upsets,3,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,456,456,1007,9,0,0,0,365912,91731,731,183,0
1400,upsets,4,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,464,464,1187,4,0,0,0,365920,91739,731,183,0
1400,upsets,5,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,468,468,466,4,0,0,0,365923,91743,731,183,0
1400,upsets,6,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,465,465,928,4,0,0,0,365921,91740,731,183,0
1400,upsets,7,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,476,476,348,1,0,0,0,365932,91751,731,183,0
1400,upsets,8,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,463,463,1184,3,0,0,0,365919,91738,731,183,0
1400,upsets,9,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,466,466,332,3,0,0,0,365922,91741,731,183,0
1400,upsets,10,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1400.csv,0,1400,1400,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,356,91275,467,467,306,3,0,0,0,365923,91742,731,183,0
1500,upsets,1,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1500.csv,0,1500,1500,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,332,85200,474,474,28,0,0,0,0,341606,85674,683,171,0
1500,upsets,2,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1500.csv,0,1500,1500,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,332,85200,468,468,911,2,0,0,0,341600,85668,683,171,0
1500,upsets,3,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1500.csv,0,1500,1500,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,332,85200,464,464,594,7,0,0,0,341596,85664,683,171,0
1500,upsets,4,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1500.csv,0,1500,1500,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,332,85200,467,467,635,3,0,0,0,341599,85667,683,171,0
1500,upsets,5,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1500.csv,0,1500,1500,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,332,85200,464,464,893,5,0,0,0,341595,85664,683,171,0
1500,upsets,6,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1500.csv,0,1500,1500,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,332,85200,459,459,1064,3,0,0,0,341591,85659,683,171,0
1500,upsets,7,500000,8,43824,400,40,600,3000,0,2,linear_max,risk_policy,results/paper/tables/risk_policy_schedule.csv,results/paper/unsaturated_control/fixed_grid_no_clusters/risk_policy_level_map_1500.csv,0,1500,1500,"1866,1788,1710,1633,1555,1400,1244,1089","3,1,6,4","2021,1555,1244",fixed,500000,332,85200,465,465,996,3,0,0,0,341597,85665,683,171,0
