seed,pair_id,first_cycle,second_cycle,gap_actual,gap_preferred,first_shift,second_shift,first_address,second_address,same_address,first_level,second_level,max_level,first_aggressive,second_aggressive,any_aggressive
7,28,261535,262968,1433,1433,0,0,169,169,1,0,0,0,0,0,0
7,29,42007,43832,1825,1825,0,0,44,44,1,1,2,2,0,0,0
7,30,443760,446630,2870,2870,0,0,25,25,1,0,0,0,0,0,0
7,31,2364,3408,1044,1044,0,0,243,243,1,1,1,1,0,0,0
7,32,465746,468397,2651,2651,0,0,192,192,1,1,0,1,0,0,0
7,33,66024,66963,939,939,0,0,234,234,1,2,2,2,0,0,0
7,34,427226,428568,1342,1342,0,0,51,51,1,0,0,0,0,0,0
7,35,365344,366512,1168,1168,0,0,132,132,1,0,0,0,0,0,0
7,36,12036,14363,2327,2327,0,0,220,220,1,2,1,2,0,0,0
7,37,166514,167337,823,823,0,0,20,20,1,1,1,1,0,0,0
7,38,303526,306482,2956,2956,0,0,228,228,1,0,0,0,0,0,0
7,39,224396,226581,2185,2185,0,0,79,79,1,0,1,1,0,0,0
8,0,459128,460943,1815,1815,0,0,137,137,1,0,0,0,0,0,0
8,1,72021,73454,1433,1433,0,0,21,21,1,2,2,2,0,0,0
8,2,117332,118919,1587,1587,0,0,35,35,1,1,1,1,0,0,0
8,3,66381,68715,2334,2334,0,0,46,46,1,2,2,2,0,0,0
8,4,341615,342936,1321,1321,0,0,12,12,1,0,0,0,0,0,0
8,5,311659,313588,1929,1929,0,0,42,42,1,2,0,2,0,0,0
8,6,180329,181335,1006,1006,0,0,85,85,1,0,0,0,0,0,0
8,7,343675,346576,2901,2901,0,0,128,128,1,2,0,2,0,0,0
8,8,473120,475119,1999,1999,0,0,170,170,1,0,0,0,0,0,0
8,9,211504,213954,2450,2450,0,0,244,244,1,0,0,0,0,0,0
8,10,31928,32856,928,928,0,0,161,161,1,2,1,2,0,0,0
8,11,307604,309548,1944,1944,0,0,211,211,1,2,0,2,0,0,0
8,12,82427,83958,1531,1531,0,0,123,123,1,5,2,5,0,0,0
8,13,35536,37108,1572,1572,0,0,131,131,1,1,1,1,0,0,0
8,14,323729,326040,2311,2311,0,0,16,16,1,0,0,0,0,0,0
8,15,190645,193560,2915,2915,0,0,179,179,1,1,1,1,0,0,0
8,16,168175,170862,2687,2687,0,0,118,118,1,1,1,1,0,0,0
8,17,302952,305383,2431,2431,0,0,34,34,1,0,0,0,0,0,0
8,18,32279,34949,2670,2670,0,0,33,33,1,2,1,2,0,0,0
8,19,11624,13126,1502,1502,0,0,167,167,1,1,2,2,0,0,0
8,20,165370,167070,1700,1700,0,0,39,39,1,1,1,1,0,0,0
8,21,22211,23599,1388,1388,0,0,106,106,1,1,2,2,0,0,0
8,22,290739,292892,2153,2153,0,0,151,151,1,0,0,0,0,0,0
8,23,372657,375609,2952,2952,0,0,3,3,1,0,0,0,0,0,0
8,24,38204,41131,2927,2927,0,0,136,136,1,1,1,1,0,0,0
8,25,338317,339425,1108,1108,0,0,190,190,1,0,0,0,0,0,0
8,26,123765,124446,681,681,0,0,94,94,1,2,2,2,0,0,0
8,27,486477,487391,914,914,0,0,25,25,1,5,0,5,0,0,0
8,28,80047,82618,2571,2571,0,0,123,123,1,2,3,3,0,0,0
8,29,82950,83943,993,993,0,0,248,248,1,2,2,2,0,0,0
8,30,57569,58743,1174,1174,0,0,227,227,1,2,1,2,0,0,0
8,31,197340,198560,1220,1220,0,0,145,145,1,1,1,1,0,0,0
8,32,450006,451820,1814,1814,0,0,117,117,1,0,0,0,0,0,0
8,33,486276,488949,2673,2673,0,0,12,12,1,6,0,6,1,0,1
8,34,142281,143052,771,771,0,0,188,188,1,1,1,1,0,0,0
8,35,81640,84352,2712,2712,0,0,249,249,1,2,2,2,0,0,0
8,36,436984,437659,675,675,0,0,154,154,1,0,0,0,0,0,0
8,37,246655,248791,2136,2136,0,0,255,255,1,1,1,1,0,0,0
8,38,183610,185797,2187,2187,0,0,182,182,1,1,1,1,0,0,0
8,39,35186,36945,1759,1759,0,0,173,173,1,1,2,2,0,0,0
9,0,70149,71794,1645,1645,0,0,59,59,1,2,2,2,0,0,0
9,1,5551,8276,2725,2725,0,0,186,186,1,1,1,1,0,0,0
9,2,338198,340084,1886,1886,0,0,190,190,1,0,0,0,0,0,0
9,3,486318,487293,975,975,0,0,248,248,1,6,0,6,1,0,1
9,4,448559,449279,720,720,0,0,192,192,1,0,0,0,0,0,0
9,5,335882,337386,1504,1504,0,0,174,174,1,4,0,4,0,0,0
9,6,66623,67783,1160,1160,0,0,43,43,1,2,2,2,0,0,0
9,7,186162,188779,2617,2617,0,0,90,90,1,1,1,1,0,0,0
9,8,371429,373313,1884,1884,0,0,207,207,1,1,0,1,0,0,0
9,9,391105,391723,618,618,0,0,18,18,1,0,0,0,0,0,0
9,10,370870,372250,1380,1380,0,0,80,80,1,1,0,1,0,0,0
9,11,337270,339955,2685,2685,0,0,95,95,1,0,0,0,0,0,0
9,12,360780,362546,1766,1766,0,0,158,158,1,0,0,0,0,0,0
9,13,486326,487695,1369,1369,0,0,181,181,1,6,0,6,1,0,1
9,14,298035,300542,2507,2507,0,0,121,121,1,0,0,0,0,0,0
9,15,486342,487070,728,728,0,0,96,96,1,6,1,6,1,0,1
9,16,140121,143071,2950,2950,0,0,173,173,1,1,1,1,0,0,0
9,17,335797,337536,1739,1739,0,0,55,55,1,5,0,5,0,0,0
9,18,192977,194608,1631,1631,0,0,30,30,1,1,1,1,0,0,0
9,19,135557,137649,2092,2092,0,0,68,68,1,1,1,1,0,0,0
9,20,157728,160571,2843,2843,0,0,173,173,1,1,1,1,0,0,0
9,21,274090,275696,1606,1606,0,0,17,17,1,0,0,0,0,0,0
9,22,101764,103747,1983,1983,0,0,108,108,1,1,1,1,0,0,0
9,23,60320,62117,1797,1797,0,0,104,104,1,2,2,2,0,0,0
9,24,339834,341351,1517,1517,0,0,233,233,1,0,0,0,0,0,0
9,25,133122,134977,1855,1855,0,0,8,8,1,1,2,2,0,0,0
9,26,107841,109149,1308,1308,0,0,190,190,1,1,1,1,0,0,0
9,27,157754,159819,2065,2065,0,0,0,0,1,1,1,1,0,0,0
9,28,141108,143325,2217,2217,0,0,232,232,1,1,2,2,0,0,0
9,29,118185,119665,1480,1480,0,0,249,249,1,1,1,1,0,0,0
9,30,234283,235992,1709,1709,0,0,89,89,1,0,0,0,0,0,0
9,31,200209,202777,2568,2568,0,0,5,5,1,1,1,1,0,0,0
9,32,70842,72702,1860,1860,0,0,211,211,1,2,2,2,0,0,0
9,33,238216,239941,1725,1725,0,0,85,85,1,1,1,1,0,0,0
9,34,59713,60839,1126,1126,0,0,6,6,1,2,2,2,0,0,0
9,35,222465,224240,1775,1775,0,0,235,235,1,0,0,0,0,0,0
9,36,51143,53894,2751,2751,0,0,49,49,1,2,2,2,0,0,0
9,37,144526,146465,1939,1939,0,0,239,239,1,1,1,1,0,0,0
9,38,331866,333909,2043,2043,0,0,59,59,1,0,0,0,0,0,0
9,39,82398,84007,1609,1609,0,0,199,199,1,5,2,5,0,0,0
10,0,442937,445696,2759,2759,0,0,20,20,1,0,0,0,0,0,0
